,SRC,TRG
3754,75 Write a Python program to compute the sum of all the multiples of 3 or 5 below 500.,"n = 0
for i in range(1,500):
     if not i % 5 or not i % 3:
         n = n + i
print(n)"
3755,76 Write a Python function to converting an integer to a string in any base.,"def to_string(n,base):
   conver_tString = ""0123456789ABCDEF""
   if n < base:
      return conver_tString[n]
   else:
      return to_string(n//base,base) + conver_tString[n % base"
3756,77 Write a Python function to calculate the geometric sum of n-1.,"def geometric_sum(n):
  if n < 0:
    return 0
  else:
    return 1 / (pow(2, n)) + geometric_sum(n - 1)"
3757,78 Write a Python function to find the greatest common divisor (gcd) of two integers.,"def Recurgcd(a, b):
	low = min(a, b)
	high = max(a, b)
	if low == 0:
		return high
	elif low == 1:
		return 1
	else:
		return Recurgcd(low, high%low)"
3758,"79 Write a program to print which will find all such numbers which are divisible by 7 but are not a multiple of 5,","between 2000 and 3200 (both included).  
l=[]
for i in range(2000, 3201):
    if (i%7==0) and (i%5!=0):
        l.append(str(i))
print ','.join(l)"
3759,81 Write a Python program to convert a given Bytearray to Hexadecimal string.,"def bytearray_to_hexadecimal(list_val):
     result = ''.join('{:02x}'.format(x) for x in list_val)  
     return(result)"
3760,82 Write a Python program to count number of substrings with same first and last characters of a given string.,"def no_of_substring_with_equalEnds(str1): 
	result = 0; 
	n = len(str1); 
	for i in range(n): 
		for j in range(i, n): 
			if (str1[i] == str1[j]): 
				result = result + 1
	return result"
3761,83 Write a Python program to move all spaces to the front of a given string in single traversal.,"def moveSpaces(str1): 
    no_spaces = [char for char in str1 if char!=' ']   
    space= len(str1) - len(no_spaces)
    result = ' '*space    
    return result + ''.join(no_spaces)"
3762,84 Write a Python program to find maximum length of consecutive 0’s in a given binary string.,"def max_consecutive_0(input_str): 
     return  max(map(len,input_str.split('1')))
str1 = '111000010000110'
print(""Original string:"" + str1)
print(""Maximum length of consecutive 0’s:"")"
3763,85 Write a Python program that iterate over elements repeating each as many times as its count.,"from collections import Counter
c = Counter(p=4, q=2, r=0, s=-2)
print(list(c.elements()))"
3764,86 Write a Python program to find the second smallest number in a list.,"def second_smallest(numbers):
  if (len(numbers)<2):
    return
  if ((len(numbers)==2)  and (numbers[0] == numbers[1]) ):
    return
  dup_items = set()
  uniq_items = []
  for x in numbers:
    if x not in dup_items:
      uniq_items.append(x)
      dup_items.add(x)
  uniq_items.sort()    
  return  uniq_items[1]"
3765,87 Write a Python function to check whether a list contains a sublist.,"def is_Sublist(l, s):
	sub_set = False
	if s == []:
		sub_set = True
	elif s == l:
		sub_set = True
	elif len(s) > len(l):
		sub_set = False
	else:
		for i in range(len(l)):
			if l[i] == s[0]:
				n = 1
				while (n < len(s)) and (l[i+n] == s[n]):
					n += 1
				if n == len(s):
					sub_set = True
	return sub_set"
3766,86 Write a Python program to generate groups of five consecutive numbers in a list,"l = [[5*i + j for j in range(1,6)] for i in range(5)]
print(l)"
3767,87 Write a Python program to print the list in a list of lists whose sum of elements is the highest.,"print(max(num, key=sum))"
3768,88 Write a Python fuction to print the depth of a dictionary.,"def dict_depth(d):
    if isinstance(d, dict):
        return 1 + (max(map(dict_depth, d.values())) if d else 0)
    return 0
dic = {'a':1, 'b': {'c': {'d': {}}}}
print(dict_depth(dic))"
3769,89 Write a Python function to pack consecutive duplicates of a given list elements into sublists and print the output.,"from itertools import groupby
def pack_consecutive_duplicates(l_nums):
    return [list(group) for key, group in groupby(l_nums)]
n_list = [0, 0, 1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4 ]
print(""Original list:"") 
print(n_list)
print(""\nAfter packing consecutive duplicates of the said list elements into sublists:"")
print(pack_consecutive_duplicates(n_list))"
3770,90 Write a Python function to create a list reflecting the modified run-length encoding from a given list of integers or a given list of characters and print the output.,"from itertools import groupby
def modified_encode(alist):
        def ctr_ele(el):
            if len(el)>1: return [len(el), el[0]]
            else: return el[0]
        return [ctr_ele(list(group)) for key, group in groupby(alist)]
n_list = [1,1,2,3,4,4,5, 1]
print(""Original list:"") 
print(n_list)
print(""\nList reflecting the modified run-length encoding from the said list:"")
print(modified_encode(n_list))"
3771,91 Write a Python function to create a multidimensional list (lists of lists) with zeros and print the output.,"nums = []
for i in range(3):
    nums.append([])
    for j in range(2):
        nums[i].append(0)
print(""Multidimensional list:"")
print(nums)"
3772,92 Write a Python function to read a square matrix from console and print the sum of matrix primary diagonal.Accept the size of the square matrix and elements for each column separated with a space (for every row) as input from the user and print the output.,"size = int(input(""Input the size of the matrix: ""))
matrix = [[0] * size for row in range(0, size)]
for x in range(0, size):
    line = list(map(int, input().split()))
    for y in range(0, size):
        matrix[x][y] = line[y]
matrix_sum_diagonal = sum(matrix[size - i - 1][size - i - 1] for i in range(size))"
3773,93 Write a Python function to check if a nested list is a subset of another nested list and print the output.,"def checkSubset(input_list1, input_list2): 
    return all(map(input_list1.__contains__, input_list2)) 
list1 = [[1, 3], [5, 7], [9, 11], [13, 15, 17]] 
list2 = [[1, 3],[13,15,17]]   
print(""Original list:"")
print(list1)
print(list2)
print(""\nIf the one of the said list is a subset of another.:"")
print(checkSubset(list1, list2))"
3774,94 Write a Python function to print all permutations with given repetition number of characters of a given string and print the output.,"from itertools import product
def all_repeat(str1, rno):
  chars = list(str1)
  results = []
  for c in product(chars, repeat = rno):
    results.append(c)
  return results
print(all_repeat('xyz', 3))"
3775,95 Write a Python function to find the index of a given string at which a given substring starts. If the substring is not found in the given string return 'Not found' and print the output.,"def find_Index(str1, pos):
    if len(pos) > len(str1):
        return 'Not found'
    for i in range(len(str1)):
        for j in range(len(pos)):
            if str1[i + j] == pos[j] and j == len(pos) - 1:
                return i
            elif str1[i + j] != pos[j]:
                break
    return 'Not found"
3776,"96 Write a Python program to find the smallest multiple of the first n numbers. Also, display the factors.","def smallest_multiple(n):
    if (n<=2):
      return n
    i = n * 2
    factors = [number  for number in range(n, 1, -1) if number * 2 > n]
    print(factors)
    while True:
        for a in factors:
            if i % a != 0:
                i += n
                break
            if (a == factors[-1] and i % a == 0):
                return i"
3777,97 Write a Python program to print all permutations of a given string (including duplicates).,"def permute_string(str):
    if len(str) == 0:
        return ['']
    prev_list = permute_string(str[1:len(str)])
    next_list = []
    for i in range(0,len(prev_list)):
        for j in range(0,len(str)):
            new_str = prev_list[i][0:j]+str[0]+prev_list[i][j:len(str)-1]
            if new_str not in next_list:
                next_list.append(new_str)
    return next_lis"
3778,98 Write a Python program to multiply two integers without using the '*' operator in python.,"def multiply(x, y):
    if y < 0:
        return -multiply(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply(x, y - 1)"
3779,99 Write a Python program to calculate distance between two points using latitude and longitude.,"from math import radians, sin, cos, acos
print(""Input coordinates of two points:"")
slat = radians(float(input(""Starting latitude: "")))
slon = radians(float(input(""Ending longitude: "")))
elat = radians(float(input(""Starting latitude: "")))
elon = radians(float(input(""Ending longitude: "")))
dist = 6371.01 * acos(sin(slat)*sin(elat) + cos(slat)*cos(elat)*cos(slon - elon))
print(""The distance is %.2fkm."" % dist)"
3780,99 Write a Python class to convert a roman numeral to an integer.,"class Solution:
    def roman_to_int(self, s):
        rom_val = {'I': 1, 'V': 5, 'X': 10, 'L': 50, 'C': 100, 'D': 500, 'M': 1000}
        int_val = 0
        for i in range(len(s)):
            if i > 0 and rom_val[s[i]] > rom_val[s[i - 1]]:
                int_val += rom_val[s[i]] - 2 * rom_val[s[i - 1]]
            else:
                int_val += rom_val[s[i]]
        return int_val"
3781,"Implement a function which modifies a list so that each index has a product of all the numbers present in the list except the number stored at that index.
     get product start from left
     get product starting from right","def find_product(lst):
    left = 1
    product = []
    for ele in lst:
        product.append(left)
        left = left * ele
    right = 1
    for i in range(len(lst)-1, -1, -1):
        product[i] = product[i] * right
        right = right * lst[i]
    return product"
3782,write a function to find out the second maximum number in the given list,"def find_second_maximum(lst):
    max = float('-inf')
    sec_max = float('-inf')
    for elem in list:
        if elem > max:
            sec_max = max
            max = elem
        elif elem > sec_max:
            sec_max = elem
    return sec_max"
3783,write a function to right rotate a given list by given input,"def right_rotate(lst, n):
    n = n % len(lst)
    return lst[-n:] + lst[:-n]"
3784,"write a function which rearranges the elements such that all the negative elements appear on the left and positive elements appear at the right of the list. Note that it is not necessary to maintain the sorted order of the input list.
     iterate the list
         if negative number
             if not the last negative number
                 swap the two
             update the last position","def rearrange(lst):
    leftMostPosEle = 0  # index of left most element
    for curr in range(len(lst)):
        if (lst[curr] < 0):
            if (curr is not leftMostPosEle):
                lst[curr], lst[leftMostPosEle] = lst[leftMostPosEle], lst[curr]
            leftMostPosEle += 1
    return lst"
3785,"With a given tuple (1,2,3,4,5,6,7,8,9,10), write a program to print the first half values in one line and the last half values in one line.","tp=(1,2,3,4,5,6,7,8,9,10)
tp1=tp[:5]
tp2=tp[5:]
print(tp1)
print(tp2)"
3786,"Write a program which accepts a string as input to print ""Yes"" if the string is ""yes"" or ""YES"" or ""Yes"", otherwise print ""No"".","s= input()
if s==""yes"" or s==""YES"" or s==""Yes"":
    print(""Yes"")
else:
    print(""No"")"
3787,"Write a program which can filter even numbers in a list by using filter function. The list is: [1,2,3,4,5,6,7,8,9,10].","li = [1,2,3,4,5,6,7,8,9,10]
evenNumbers = filter(lambda x: x%2==0, li)
print(evenNumbers)"
3788,"Write a program which can map() to make a list whose elements are square of elements in [1,2,3,4,5,6,7,8,9,10].","li = [1,2,3,4,5,6,7,8,9,10]
squaredNumbers = map(lambda x: x**2, li)
print(squaredNumbers)"
3789,"Write a program which can map() and filter() to make a list whose elements are square of even number in [1,2,3,4,5,6,7,8,9,10] and print it","li = [1,2,3,4,5,6,7,8,9,10]
evenNumbers = map(lambda x: x**2, filter(lambda x: x%2==0, li))
print(evenNumbers)"
3790,Write a program which can filter() to make a list whose elements are even number between 1 and 20 (both included).,"evenNumbers = filter(lambda x: x%2==0, range(1,21))
print(evenNumbers)"
3791,Write a program which can map() to make a list whose elements are square of numbers between 1 and 20 (both included).,"squaredNumbers = map(lambda x: x**2, range(1,21))
print(squaredNumbers)"
3792,Define a class named American which has a static method called printNationality.,"class American(object):
    @staticmethod
    def printNationality():
        print(""America"")
anAmerican = American()
anAmerican.printNationality()
American.printNationality()"
3793,Define a class named American and its subclass NewYorker.,"class American(object):
    pass
class NewYorker(American):
    pass"
3794,Define a class named Circle which can be constructed by a radius. The Circle class has a method which can compute the area.,"class Circle(object):
    def __init__(self, r):
        self.radius = r
    def area(self):
        return self.radius**2*3.14"
3795,Define a class named Rectangle which can be constructed by a length and width. The Rectangle class has a method which can compute the area.,"class Rectangle(object):
    def __init__(self, l, w):
        self.length = l
        self.width  = w
    def area(self):
        return self.length*self.width"
3796,Define a class named Shape and its subclass Square. The Square class has an init function which takes a length as argument. Both classes have a area function which can print the area of the shape where Shape's area is 0 by default.,"class Shape(object):
    def __init__(self):
        pass
    def area(self):
        return 0
class Square(Shape):
    def __init__(self, l):
        Shape.__init__(self)
        self.length = l
    def area(self):
        return self.length*self.length"
3797,Please raise a RuntimeError exception.,raise RuntimeError('something wrong')
3798,Write a function to compute 5/0 and use try/except to catch the exceptions.,"def throws():
    return 5/0
try:
    throws()
except ZeroDivisionError:
    print(""division by zero!"")
except Exception:
    print('Caught an exception')
finally:
    print('In finally block for cleanup')"
3799,Define a custom exception class which takes a string message as attribute.,"class MyError(Exception):
    def __init__(self, msg):
        self.msg = msg"
3800,"Assuming that we have some email addresses in the ""username@companyname.com"" format, please write program to print the user name of a given email address. Both user names and company names are composed of letters only.","import re
emailAddress = 'bing@google.com'
pat2 = ""(\w+)@((\w+\.)+(com))""
r2 = re.match(pat2,emailAddress)
print(r2.group(1))"
3801,"Assuming that we have some email addresses in the ""username@companyname.com"" format, please write program to print the company name of a given email address. Both user names and company names are composed of letters only.","import re
emailAddress = 'bing@google.com'
pat2 = ""(\w+)@(\w+)\.(com)""
r2 = re.match(pat2,emailAddress)
print(r2.group(2))"
3802,Write a program which accepts a sequence of words separated by whitespace as input to print the words composed of digits only.,"import re
s = input()
print(re.findall(""\d+"",s))"
3803,"Print a unicode string ""hello world"".","unicodeString = u""hello world!""
print(unicodeString)"
3804,Write a program to read an ASCII string and to convert it to a unicode string encoded by utf-8.,"s = input()
u = unicode( s ,""utf-8"")
print(u)"
3805,Write a program to compute 1/2+2/3+3/4+...+n/n+1 with a given n input by input parameters.,"n=int(input())
sum=0.0
for i in range(1,n+1):
    sum += float(float(i)/(i+1))
print(sum)"
3806,Write a function to compute: f(n)=f(n-1)+100 when n>0 and f(0)=1 with a given n input by input parameters.,"def f(n):
    if n==0:
        return 0
    else:
        return f(n-1)+100"
3807,Please write a function to compute the Fibonacci sequence until a given number via input paramters.,"def fibo(n):
    if n == 0: return 0
    elif n == 1: return 1
    else: return f(n-1)+f(n-2)"
3808,Please write a function using generator to print the even numbers between 0 and n in comma separated form while n is input by console.,"def EvenGenerator(n):
    i=0
    while i<=n:
        if i%2==0:
            yield i
        i+=1"
3809,Please write a function using generator to print the numbers which can be divisible by 5 and 7 between 0 and n in comma separated form while n is input by console.,"def NumGenerator(n):
    for i in range(n+1):
        if i%5==0 and i%7==0:
            yield i"
3810,"Please write assert statements to verify that every number in the list [2,4,6,8] is even.","li = [2,4,6,8]
for i in li:
    assert i%2==0"
3811,Please write a program which accepts basic mathematic expression from console and print the evaluation result.,"expression = input()
print(eval(expression))"
3812,Please write a binary search function which searches an item in a sorted list. The function should return the index of element to be searched in the list.,"import math
def bin_search(li, element):
    bottom = 0
    top = len(li)-1
    index = -1
    while top>=bottom and index==-1:
        mid = int(math.floor((top+bottom)/2.0))
        if li[mid]==element:
            index = mid
        elif li[mid]>element:
            top = mid-1
        else:
            bottom = mid+1
    return index"
3813,Please write a binary search function which searches an item in a sorted list. The function should return the index of element to be searched in the list.,"import math
def bin_search(li, element):
    bottom = 0
    top = len(li)-1
    index = -1
    while top>=bottom and index==-1:
        mid = int(math.floor((top+bottom)/2.0))
        if li[mid]==element:
            index = mid
        elif li[mid]>element:
            top = mid-1
        else:
            bottom = mid+1
    return index"
3814,Please generate a random float where the value is between 10 and 100 using Python math module.,"import random
print(random.random()*100)"
3815,Please generate a random float where the value is between 5 and 95 using Python math module.,"import random
print(random.random()*100-5)"
3816,Please write a program to output a random even number between 0 and 10 inclusive using random module and list comprehension.,"import random
print(random.choice([i for i in range(11) if i%2==0]))"
3817,"Please write a program to output a random number, which is divisible by 5 and 7, between 0 and 10 inclusive using random module and list comprehension","import random
print(random.choice([i for i in range(201) if i%5==0 and i%7==0]))"
3818,Please write a program to generate a list with 5 random numbers between 100 and 200 inclusive.,"import random
print(random.sample(range(100), 5))"
3819,Please write a program to randomly generate a list with 5 even numbers between 100 and 200 inclusive.,"import random
print(random.sample([i for i in range(100,201) if i%2==0], 5))"
3820,"Please write a program to randomly generate a list with 5 numbers, which are divisible by 5 and 7 , between 1 and 1000 inclusive.","import random
print(random.sample([i for i in range(1,1001) if i%5==0 and i%7==0], 5))"
3821,Please write a program to randomly print a integer number between 7 and 15 inclusive.,"import random
print(random.randrange(7,16))"
3822,"Please write a program to compress and decompress the string ""hello world!hello world!hello world!hello world!"".","import zlib
s = b'hello world!hello world!hello world!hello world!'
t = zlib.compress(s)
print(t)
print(zlib.decompress(t))"
3823,"Please write a program to print the running time of execution of ""1+1"" for 100 times.","from timeit import Timer
t = Timer(""for i in range(100):1+1"")
print(t.timeit())"
3824,"Please write a program to shuffle and print the list [3,6,7,8].","from random import shuffle
li = [3,6,7,8]
shuffle(li)
print(li)"
3825,"Please write a program to shuffle and print the list [3,6,7,8].","from random import shuffle
li = [3,6,7,8]
shuffle(li)
print(li)"
3826,"Please write a program to generate all sentences where subject is in [""I"", ""You""] and verb is in [""Play"", ""Love""] and the object is in [""Hockey"",""Football""].","subjects=[""I"", ""You""]
verbs=[""Play"", ""Love""]
objects=[""Hockey"",""Football""]
for i in range(len(subjects)):
    for j in range(len(verbs)):
        for k in range(len(objects)):
            sentence = ""%s %s %s."" % (subjects[i], verbs[j], objects[k])
            print(sentence)"
3827,"Please write a program to print the list after removing delete even numbers in [5,6,77,45,22,12,24].","li = [5,6,77,45,22,12,24]
li = [x for x in li if x%2!=0]
print(li)"
3828,"By using list comprehension, please write a program to print the list after removing delete numbers which are divisible by 5 and 7 in [12,24,35,70,88,120,155].","li = [12,24,35,70,88,120,155]
li = [x for x in li if x%5!=0 and x%7!=0]
print(li)"
3829,"By using list comprehension, please write a program to print the list after removing the 0th, 2nd, 4th,6th numbers in [12,24,35,70,88,120,155].","li = [12,24,35,70,88,120,155]
li = [x for (i,x) in enumerate(li) if i%2!=0]
print(li)"
3830,"By using list comprehension, please write a program generate a 3*5*8 3D array whose each element is 0.","array = [[ [0 for col in range(8)] for col in range(5)] for row in range(3)]
print(array)"
3831,"By using list comprehension, please write a program to print the list after removing the 0th,4th,5th numbers in [12,24,35,70,88,120,155].","li = [12,24,35,70,88,120,155]
li = [x for (i,x) in enumerate(li) if i not in (0,4,5)]
print(li)"
3832,"By using list comprehension, please write a program to print the list after removing the value 24 in [12,24,35,24,88,120,155].","li = [12,24,35,24,88,120,155]
li = [x for x in li if x!=24]
print(li)"
3833,"With two given lists [1,3,6,78,35,55] and [12,24,35,24,88,120,155], write a program to make a list whose elements are intersection of the above given lists.","set1=set([1,3,6,78,35,55])
set2=set([12,24,35,24,88,120,155])
set1 &= set2
li=list(set1)
print(li)"
3834,"With a given list [12,24,35,24,88,120,155,88,120,155], write a program to print this list after removing all duplicate values with original order reserved.","def removeDuplicate( li ):
    newli=[]
    seen = set()
    for item in li:
        if item not in seen:
            seen.add( item )
            newli.append(item)
    return newli"
3835,"Define a class Person and its two child classes: Male and Female. All classes have a method ""getGender"" which can print ""Male"" for Male class and ""Female"" for Female class.","class Person(object):
    def getGender( self ):
        return ""Unknown""
class Male( Person ):
    def getGender( self ):
        return ""Male""
class Female( Person ):
    def getGender( self ):
        return ""Female"""
3836,Please write a program which count and print the numbers of each character in a string input by console.,"dic = {}
s=input()
for s in s:
    dic[s] = dic.get(s,0)+1
print('\n'.join(['%s,%s' % (k, v) for k, v in dic.items()]))"
3837,Please write a program which accepts a string from console and print it in reverse order.,"s=input()
s = s[::-1]
print(s)"
3838,Please write a program which accepts a string from console and print the characters that have even indexes.,"s=input()
s = s[::2]
print(s)"
3839,"Please write a program which prints all permutations of [1,2,3]","import itertools
print(list(itertools.permutations([1,2,3])))"
3840,Write a program to solve a classic ancient Chinese puzzle:  We count 35 heads and 94 legs among the chickens and rabbits in a farm. How many rabbits and how many chickens do we have?,"def solve(numheads,numlegs):
    ns='No solutions!'
    for i in range(numheads+1):
        j=numheads-i
        if 2*i+4*j==numlegs:
            return i,j
    return ns,ns"
3841,"Write a program which will find all such numbers which are divisible by 7 but are not a multiple of 5, between 2000 and 3200 (both included).
 The numbers obtained should be printed in a comma-separated sequence on a single line.","l=[]
for i in range(2000, 3201):
    if (i%7==0) and (i%5!=0):
        l.append(str(i))
print(','.join(l))"
3842,"Write a function which can compute the factorial of a given numbers.
 The results should be printed in a comma-separated sequence on a single line.","def fact(x):
    if x == 0:
        return 1
    return x * fact(x - 1)
x=int(input())
print(fact(x))"
3843,"With a given integral number n, write a program to generate a dictionary that contains (i, i*i) such that is an integral number between 1 and n (both included). and then the program should print the dictionary.","n=int(input())
d=dict()
for i in range(1,n+1):
    d[i]=i*i
print(d)"
3844,Write a program which accepts a sequence of comma-separated numbers from console and generate a list and a tuple which contains every number.,"values=input()
l=values.split("","")
t=tuple(l)
print(l)
print(t)"
3845,Define a class which has at least two methods:,"class InputOutString(object):
    def __init__(self):
        self.s = """"
    def getString(self):
        self.s = input()
    def printString(self):
        print(self.s.upper())
strObj = InputOutString()
strObj.getString()
strObj.printString()"
3846,"Write a program that calculates and prints the value according to the given formula:
 Q = Square root of [(2 * C * D)/H]
 Following are the fixed values of C and H:
 C is 50. H is 30.
 D is the variable whose values should be input to your program in a comma-separated sequence.","import math
c=50
h=30
value = []
items=[x for x in input().split(',')]
for d in items:
    value.append(str(int(round(math.sqrt(2*c*float(d)/h)))))
print(','.join(value))"
3847,"Write a program which takes 2 digits, X,Y as input and generates a 2-dimensional array. The element value in the i-th row and j-th column of the array should be i*j.","input_str = input()
dimensions=[int(x) for x in input_str.split(',')]
rowNum=dimensions[0]
colNum=dimensions[1]
multilist = [[0 for col in range(colNum)] for row in range(rowNum)]
for row in range(rowNum):
    for col in range(colNum):
        multilist[row][col]= row*col
print(multilist)"
3848,Write a program that accepts a comma separated sequence of words as input and prints the words in a comma-separated sequence after sorting them alphabetically.,"items=[x for x in input().split(',')]
items.sort()
print(','.join(items))"
3849,Write a program that accepts sequence of lines as input and prints the lines after making all characters in the sentence capitalized.,"lines = []
while True:
    s = input()
    if s:
        lines.append(s.upper())
    else:
        break;
for sentence in lines:
    print(sentence)"
3850,Write a program that accepts a sequence of whitespace separated words as input and prints the words after removing all duplicate words and sorting them alphanumerically.,"s = input()
words = [word for word in s.split("" "")]
print("" "".join(sorted(list(set(words)))))"
3851,Write a program which accepts a sequence of comma separated 4 digit binary numbers as its input and then check whether they are divisible by 5 or not. The numbers that are divisible by 5 are to be printed in a comma separated sequence.,"value = []
items=[x for x in input().split(',')]
for p in items:
    intp = int(p, 2)
    if not intp%5:
        value.append(p)
print(','.join(value))"
3852,"Write a program, which will find all such numbers between 1000 and 3000 (both included) such that each digit of the number is an even number. The numbers obtained should be printed in a comma-separated sequence on a single line.","values = []
for i in range(1000, 3001):
    s = str(i)
    if (int(s[0])%2==0) and (int(s[1])%2==0) and (int(s[2])%2==0) and (int(s[3])%2==0):
        values.append(s)
print("","".join(values))"
3853,Write a program that accepts a sentence and calculate the number of letters and digits.,"s = input()
d={""DIGITS"":0, ""LETTERS"":0}
for c in s:
    if c.isdigit():
        d[""DIGITS""]+=1
    elif c.isalpha():
        d[""LETTERS""]+=1
    else:
        pass
print(""LETTERS"", d[""LETTERS""])
print(""DIGITS"", d[""DIGITS""])"
3854,Write a program that accepts a sentence and calculate the number of upper case letters and lower case letters.,"s = input()
d={""UPPER CASE"":0, ""LOWER CASE"":0}
for c in s:
    if c.isupper():
        d[""UPPER CASE""]+=1
    elif c.islower():
        d[""LOWER CASE""]+=1
    else:
        pass
print(""UPPER CASE"", d[""UPPER CASE""])
print(""LOWER CASE"", d[""LOWER CASE""])"
3855,Write a program that computes the value of a+aa+aaa+aaaa with a given digit as the value of a.,"a = input()
n1 = int( ""%s"" % a )
n2 = int( ""%s%s"" % (a,a) )
n3 = int( ""%s%s%s"" % (a,a,a) )
n4 = int( ""%s%s%s%s"" % (a,a,a,a) )
print(n1+n2+n3+n4)"
3856,Use a list comprehension to square each odd number in a list. The list is input by a sequence of comma-separated numbers.,"values = input()
numbers = [x for x in values.split("","") if int(x)%2!=0]
print("","".join(numbers))"
3857,"Write a function with a generator which can iterate the numbers, which are divisible by 7, between a given range 0 and n.","def putNumbers(n):
    i = 0
    while i<n:
        j=i
        i=i+1
        if j%7==0:
            yield j
for i in reverse(100):
    print(i)"
3858,Write a program to compute the frequency of the words from the input. The output should output after sorting the key alphanumerically.,"freq = {}   # frequency of words in text
line = input()
for word in line.split():
    freq[word] = freq.get(word,0)+1
words = freq.keys()
words.sort()
for w in words:
    print(""%s:%d"" % (w,freq[w]))"
3859,Write a method which can calculate and return square value of number,"def square(num):
    return num ** 2"
3860,Please write a program to print Python built-in functions document of abs(),print(abs.__doc__)
3861,Please write a program to print Python built-in functions document of int(),print(int.__doc__)
3862,Please write a program to print Python built-in functions document of input(),print(input.__doc__)
3863,"Define a class, which has a class parameter and have a same instance parameter.","class Person:
    name = ""Person""
    def __init__(self, name = None):
        self.name = name"
3864,Define a function which can compute the sum of two numbers.,"def sum_nums(number1, number2):
	return number1+number2"
3865,Define a function that can convert a integer into a string and print it in console.,"def convert_to_str(n):
    print(str(n))"
3866,Define a function that can receive two integral numbers in string form and compute their sum and then print it in console.,"def sum_of_ints(s1,s2):
    print(int(s1)+int(s2))"
3867,Define a function that can accept two strings as input and concatenate them and then print it in console.,"def add(s1,s2):
    print(s1+s2)"
3868,"Define a function that can accept two strings as input and print the string with maximum length in console. If two strings have the same length, then the function should print al l strings line by line.","def max_len_str(s1,s2):
    len1 = len(s1)
    len2 = len(s2)
    if len1>len2:
        print(s1)
    elif len2>len1:
        print(s2)
    else:
        print(s1)
        print(s2)"
3869,"Define a function that can accept an integer number as input and print the ""It is an even number"" if the number is even, otherwise print ""It is an odd number"".","def even_or_odd_num(n):
    if n%2 == 0:
        print(""It is an even number"")
    else:
        print(""It is an odd number"")"
3870,Define a function which can print a dictionary where the keys are numbers between 1 and 3 (both included) and the values are square of keys.,"def print_dict_keys_val_1():
    d=dict()
    d[1]=1
    d[2]=2**2
    d[3]=3**2
    print(d)"
3871,Define a function which can print a dictionary where the keys are numbers between 1 and 20 (both included) and the values are square of keys.,"def print_dict_keys_val_2():
	d=dict()
	for i in range(1,21):
		d[i]=i**2
	print(d)"
3872,Define a function which can generate a dictionary where the keys are numbers between 1 and 20 (both included) and the values are square of keys. The function should just print the values only.,"def print_dict_keys_val_3():
	d=dict()
	for i in range(1,21):
		d[i]=i**2
	for (k,v) in d.items():	
		print(v)"
3873,Define a function which can generate a dictionary where the keys are numbers between 1 and 20 (both included) and the values are square of keys. The function should just print the keys only.,"def print_dict_keys_val_4():
	d=dict()
	for i in range(1,21):
		d[i]=i**2
	for k in d.keys():	
		print(k)"
3874,Define a function which can generate and print a list where the values are square of numbers between 1 and 20 (both included).,"def printList():
	li=list()
	for i in range(1,21):
		li.append(i**2)
	print(li)"
3875,Define a function which can generate a list where the values are square of numbers between 1 and 20 (both included). Then the function needs to print the first 5 elements in the list.,"def printList():
	li=list()
	for i in range(1,21):
		li.append(i**2)
	print(li[:5])"
3876,Define a function which can generate a list where the values are square of numbers between 1 and 20 (both included). Then the function needs to print the last 5 elements in the list.,"def printList():
	li=list()
	for i in range(1,21):
		li.append(i**2)
	print(li[-5:])"
3877,Define a function which can generate a list where the values are square of numbers between 1 and 20 (both included). Then the function needs to print all values except the first 5 elements in the list.,"def printList():
	li=list()
	for i in range(1,21):
		li.append(i**2)
	print(li[5:])"
3878,Define a function which can generate and print a tuple where the value are square of numbers between 1 and 20 (both included).,"def printTuple():
	li=list()
	for i in range(1,21):
		li.append(i**2)
	print(tuple(li))"
3879,write a python function to check if the user provided string is palindrome or not a palindrome,"def ifPalindrome(inVar):
    revInvar = []
    for _ in range((len(inVar)-1), -1, -1):
        revInvar.append(inVar[_])
    if revInvar == inVar:
        return ""Palindrome""
    else:
        return ""Not a palindrome"""
3880,write a python function to Calculate the date of n days from the given date.,"from datetime import datetime, timedelta
def add_days(n, d = datetime.today()):
  return d + timedelta(n)"
3881,write a python function to check if all elements in a list are equal.,"def all_equal(lst):
  return len(set(lst)) == 1"
3882,write a python function to check if all elements in a list are unique.,"def all_unique(lst):
  return len(lst) == len(set(lst))"
3883,write a python function to find the average of two or more numbers and return the average,"def average(*args):
  return sum(args, 0.0) / len(args)"
3884,write a python function to convert a user provided string to camelcase,"from re import sub
def camel(s):
  s = sub(r""(_|-)+"", "" "", s).title().replace("" "", """")
  return ''.join([s[0].lower(), s[1:]])"
3885,write a python function to capitalize the first letter of a string,"def capitalize(s, lower_rest = False):
  return ''.join([s[:1].upper(), (s[1:].lower() if lower_rest else s[1:])])"
3886,write a python function to convert Celsius to Fahrenheit.,"def celsius_to_fahrenheit(degrees):
  return ((degrees * 1.8) + 32)"
3887,write a python function to convert a given string into a list of words.,"import re
def words(s, pattern = '[a-zA-Z-]+'):
  return re.findall(pattern, s)"
3888,write a python function thats returns a flat list of all the values in a flat dictionary,"def values_only(flat_dict):
  return list(flat_dict.values())"
